#{"t_start": 1689166072.05555, "env_id": "None"}
r,l,t
-19.999756,6,11.455095
-9.998148,3,11.457204
-9.999051,5,11.462204
-9.967985,3,11.465203
-9.9914,5,11.470205
-9.967985,3,11.473205
-9.967985,4,11.476271
-9.967984,5,11.482277
2.410325,8,11.623631
-9.967985,5,11.628844
-14.988559,5,11.633976
-14.997015,5,11.637508
-9.996206,3,11.639508
-14.97085,6,11.643506
-9.997541,4,11.648481
-9.965239,4,11.651289
-9.972214,3,11.653481
-9.967985,2,11.65448
-9.996121,4,11.657549
-9.994093,5,11.661481
-9.964536,4,11.665482
-9.972444,7,11.670479
-9.958335,5,11.673483
-14.96628,6,11.679368
-9.998428,4,11.681367
-9.998176,6,11.685367
-9.998677,3,11.688367
-9.961628,2,11.689367
-9.967984,4,11.69337
-9.917282,6,11.697352
-9.967985,3,11.700352
-14.99104,6,11.704352
-9.966408,4,11.707352
-19.916078,5,11.711355
-9.967985,3,11.714355
-9.99448,4,11.717349
-19.946962,8,11.722348
-9.995798,6,11.728507
-9.982273,4,11.7305
-9.99277,3,11.733498
-9.964093,3,11.735498
-9.995243,4,11.7375
-9.967985,2,11.740706
-14.991357,6,11.7445
-9.978026,3,11.746945
-9.976523,6,11.750946
-9.96798,4,11.752946
-9.994174,3,11.756391
-19.945721,6,11.760391
-9.994249,6,11.76439
-9.967985,3,11.767581
-9.997977,7,11.773582
-14.974015,6,11.778148
-14.969982,5,11.781142
-9.997584,5,11.785736
-14.92409,4,11.788725
-9.995879,4,11.790725
-14.940008,4,11.793725
-9.990967,4,11.796941
-14.999854,6,11.801942
-14.99888,4,11.804939
-14.996775,6,11.808939
-14.918216,7,11.81394
-9.967985,2,11.814939
-14.974322,6,11.820941
-9.959207,4,11.823941
-9.991556,4,11.82594
-9.998898,3,11.828941
-9.992811,5,11.832941
-14.982124,6,11.837006
-9.996324,4,11.83994
-9.92792,7,11.844941
-9.967985,2,11.846689
-9.967982,3,11.849145
-9.967985,2,11.85115
-9.998108,4,11.854152
-19.961965,8,11.859148
-9.997142,5,11.863152
-9.997495,7,11.86815
-9.998789,3,11.870149
-9.967985,2,11.87115
-9.967982,4,11.87415
-9.990806,5,11.87815
-9.993585,6,11.882148
-9.957111,7,11.886451
-14.980294,7,11.891397
-9.967984,3,11.895516
-9.999465,3,11.898508
-9.993294,6,11.901508
-9.999368,4,11.904508
-14.952656,7,11.910735
-14.993375,5,11.914735
-9.998723,5,11.917735
-9.967985,3,11.919735
-9.890077,6,11.923858
-9.987115,4,11.927265
-14.96563,8,11.934265
-9.999379,3,11.936747
-14.938977,4,11.938755
1.12702,8,12.038454
-9.967985,2,12.040453
-19.976062,5,12.04345
-14.997248,6,12.048583
-9.999428,4,12.052586
-9.999714,5,12.055585
-9.965381,3,12.058748
-14.956353,6,12.062746
-14.886289,7,12.068787
-9.984531,4,12.070787
-9.967984,4,12.073787
-9.967915,3,12.075993
-9.994083,3,12.078
-9.979839,4,12.082011
-9.958902,3,12.085003
-14.998165,7,12.090029
-9.967985,2,12.09103
-9.99505,4,12.094028
-9.998459,5,12.100045
-9.932822,6,12.104045
-9.966724,4,12.106345
-14.95826,6,12.110352
-14.959158,4,12.11582
-14.986389,7,12.120679
-9.991019,8,12.125679
-14.97839,5,12.131681
-9.999803,4,12.13468
-14.981716,6,12.13946
-9.997808,3,12.14168
-14.994052,8,12.150681
-9.938733,4,12.153697
-14.999842,6,12.157892
-9.993842,4,12.161922
-9.999839,5,12.167212
-12.086801,8,12.272784
-9.997139,4,12.275779
-14.981823,4,12.278869
-9.963461,4,12.281814
-14.950785,8,12.288463
-9.996413,4,12.291462
-9.967978,6,12.296123
-9.963355,5,12.301171
-7.643461,8,12.412701
-14.918201,4,12.417746
3.086228,8,12.553562
-14.993326,5,12.557763
-9.967985,3,12.560761
